,date,portfolio_value,daily_return,cum_return
0,2025-09-22,10000.0,nan%,0.00%
1,2025-09-23,9973.276743349725,-0.27%,-0.27%
2,2025-09-24,9891.469178883413,-0.82%,-1.09%
3,2025-09-25,9923.879598951551,0.33%,-0.76%
4,2025-09-26,10012.023896094139,0.89%,0.12%
